employee_id,policy,acknowledged,ack_ts
E0001,IT Security 2025,Y,2025-01-28 00:00:00
E0002,IT Security 2025,Y,2025-02-06 00:00:00
E0003,Code of Conduct 2025,N,
E0004,Anti-Harassment 2025,Y,2025-02-07 00:00:00
E0005,IT Security 2025,Y,
E0006,Anti-Harassment 2025,Y,2025-01-22 00:00:00
E0007,Anti-Harassment 2025,Y,2025-01-14 00:00:00
E0008,Anti-Harassment 2025,N,2025-02-01 00:00:00
E0009,Code of Conduct 2025,Y,2025-02-01 00:00:00
E0010,Code of Conduct 2025,Y,2025-01-10 00:00:00
E0011,Anti-Harassment 2025,N,
E0012,Code of Conduct 2025,Y,2025-02-08 00:00:00
E0013,IT Security 2025,Y,2025-01-26 00:00:00
E0014,IT Security 2025,Y,2025-01-22 00:00:00
E0015,Anti-Harassment 2025,Y,
E0016,Anti-Harassment 2025,Y,2025-01-18 00:00:00
E0017,Anti-Harassment 2025,Y,2025-01-20 00:00:00
E0018,Code of Conduct 2025,Y,2025-02-01 00:00:00
E0019,Anti-Harassment 2025,Y,2025-01-14 00:00:00
E0020,Anti-Harassment 2025,Y,
E0021,IT Security 2025,Y,2025-01-25 00:00:00
E0022,IT Security 2025,Y,
E0023,Code of Conduct 2025,Y,2025-02-06 00:00:00
E0024,Anti-Harassment 2025,Y,2025-01-12 00:00:00
E0025,Code of Conduct 2025,N,2025-02-05 00:00:00
E0026,Code of Conduct 2025,Y,2025-01-13 00:00:00
E0027,IT Security 2025,Y,2025-02-03 00:00:00
E0028,IT Security 2025,Y,
E0029,Code of Conduct 2025,N,2025-02-08 00:00:00
E0030,IT Security 2025,Y,2025-01-23 00:00:00
E0031,Anti-Harassment 2025,N,
E0032,Code of Conduct 2025,Y,2025-01-21 00:00:00
E0033,Code of Conduct 2025,Y,2025-01-22 00:00:00
E0034,IT Security 2025,N,
E0035,Code of Conduct 2025,Y,2025-01-13 00:00:00
E0036,Code of Conduct 2025,Y,2025-02-01 00:00:00
E0037,Anti-Harassment 2025,Y,2025-01-18 00:00:00
E0038,IT Security 2025,Y,2025-01-25 00:00:00
E0039,IT Security 2025,N,2025-01-14 00:00:00
E0040,Code of Conduct 2025,Y,2025-01-31 00:00:00
E0041,IT Security 2025,N,2025-01-20 00:00:00
E0042,IT Security 2025,N,
E0043,IT Security 2025,N,2025-01-10 00:00:00
E0044,Code of Conduct 2025,Y,
E0045,IT Security 2025,Y,
E0046,Code of Conduct 2025,Y,2025-01-20 00:00:00
E0047,Anti-Harassment 2025,Y,2025-01-16 00:00:00
E0048,IT Security 2025,Y,2025-01-27 00:00:00
E0049,Anti-Harassment 2025,Y,
E0050,Code of Conduct 2025,Y,2025-02-06 00:00:00
E0051,IT Security 2025,Y,2025-01-25 00:00:00
E0052,IT Security 2025,Y,2025-01-29 00:00:00
E0053,Code of Conduct 2025,Y,
E0054,Anti-Harassment 2025,N,2025-01-27 00:00:00
E0055,Code of Conduct 2025,N,2025-01-20 00:00:00
E0056,IT Security 2025,Y,2025-01-16 00:00:00
E0057,Anti-Harassment 2025,Y,2025-01-27 00:00:00
E0058,Code of Conduct 2025,Y,2025-02-07 00:00:00
E0059,Anti-Harassment 2025,Y,
E0060,Anti-Harassment 2025,Y,2025-01-12 00:00:00
E0061,Code of Conduct 2025,Y,2025-02-08 00:00:00
E0062,IT Security 2025,Y,
E0063,Code of Conduct 2025,Y,
E0064,Code of Conduct 2025,Y,
E0065,Code of Conduct 2025,Y,2025-01-24 00:00:00
E0066,IT Security 2025,Y,2025-02-07 00:00:00
E0067,Anti-Harassment 2025,N,
E0068,IT Security 2025,Y,2025-01-28 00:00:00
E0069,IT Security 2025,Y,2025-02-02 00:00:00
E0070,IT Security 2025,Y,2025-01-25 00:00:00
E0071,Code of Conduct 2025,Y,2025-01-28 00:00:00
E0072,Code of Conduct 2025,N,2025-01-23 00:00:00
E0073,IT Security 2025,Y,2025-01-16 00:00:00
E0074,IT Security 2025,Y,2025-01-13 00:00:00
E0075,Code of Conduct 2025,Y,2025-02-08 00:00:00
E0076,Code of Conduct 2025,N,2025-01-14 00:00:00
E0077,Anti-Harassment 2025,N,
E0078,IT Security 2025,Y,2025-01-11 00:00:00
E0079,Anti-Harassment 2025,Y,
E0080,Anti-Harassment 2025,Y,2025-01-27 00:00:00
E0081,Anti-Harassment 2025,Y,2025-01-20 00:00:00
E0082,Code of Conduct 2025,Y,2025-01-26 00:00:00
E0083,Code of Conduct 2025,Y,2025-01-16 00:00:00
E0084,IT Security 2025,Y,2025-01-18 00:00:00
E0085,Code of Conduct 2025,Y,2025-01-16 00:00:00
E0086,Code of Conduct 2025,Y,2025-02-03 00:00:00
E0087,Anti-Harassment 2025,Y,2025-01-25 00:00:00
E0088,Anti-Harassment 2025,Y,2025-01-23 00:00:00
E0089,Code of Conduct 2025,Y,
E0090,Code of Conduct 2025,Y,2025-01-25 00:00:00
E0091,IT Security 2025,Y,2025-02-01 00:00:00
E0092,IT Security 2025,N,2025-01-31 00:00:00
E0093,Code of Conduct 2025,Y,
E0094,Code of Conduct 2025,N,2025-01-23 00:00:00
E0095,Code of Conduct 2025,N,2025-01-28 00:00:00
E0096,Code of Conduct 2025,Y,2025-01-15 00:00:00
E0097,Code of Conduct 2025,Y,2025-02-07 00:00:00
E0098,IT Security 2025,Y,2025-02-06 00:00:00
E0099,Code of Conduct 2025,Y,2025-01-23 00:00:00
E0100,Anti-Harassment 2025,N,
E0101,IT Security 2025,Y,2025-01-19 00:00:00
E0102,Code of Conduct 2025,Y,2025-01-24 00:00:00
E0103,IT Security 2025,Y,2025-01-21 00:00:00
E0104,Code of Conduct 2025,Y,
E0105,Code of Conduct 2025,N,
E0106,Anti-Harassment 2025,Y,2025-01-21 00:00:00
E0107,IT Security 2025,Y,2025-02-09 00:00:00
E0108,Code of Conduct 2025,Y,
E0109,Anti-Harassment 2025,Y,2025-02-07 00:00:00
E0110,IT Security 2025,Y,
E0111,IT Security 2025,Y,2025-01-17 00:00:00
E0112,Anti-Harassment 2025,Y,2025-01-10 00:00:00
E0113,IT Security 2025,Y,2025-01-12 00:00:00
E0114,Anti-Harassment 2025,Y,2025-02-07 00:00:00
E0115,Code of Conduct 2025,Y,2025-01-14 00:00:00
E0116,IT Security 2025,Y,2025-01-22 00:00:00
E0117,Anti-Harassment 2025,Y,2025-01-10 00:00:00
E0118,IT Security 2025,Y,2025-01-12 00:00:00
E0119,Code of Conduct 2025,Y,
E0120,Code of Conduct 2025,Y,2025-02-05 00:00:00
